Item Code,Description,Item Group
B10364,H-CORT CREAM 15G,POISON
A12386,BAEBIS APPLE & BANANA RICE PUFF 5G,BABY & MOM
A13087,KIDS EZY DOSE LICE COMB,OTC
V10006,PRIMES HAND THERAPY BALL,OTC
A13046,EVIN MINT DENTAL FLOSS 50M,PERSONAL CARE
B10454,SANDOZ ROSUVASTATIN 20MG 15'S,POISON
A13109,REMDII PSO-REST CREAM 50G,OTC
A13141,TLS BARLEANS OMEGA-3 EE FISH OIL 120'S,SUPPLEMENT TLS
B10467,CCM SPIRO (SPIRONOLACTANE) TABLETS 25MG 10S,POISON
A13207,EVIN CHILD ARM SLING,REHAB & SUPPORT
A13208,EVIN EVERYDAY KNEE SUPPORT XL SIZE,REHAB & SUPPORT
A13202,EVIN COMPRESSION KNEE SLEEVE SIZE S,OTC
A13198,EVIN EVERYDAY ANKLE SUPPORT S,REHAB & SUPPORT
A13191,MH HIMALAYAN ROCK SALT FINE 500G,OTC
A13255,YUWELL BLOOD PRESSURE MONITOR YE660D,MEDICAL DEVICE & SUPPLY
A12987,DERMA ROLLER SYSTEM 1'S,PERSONAL CARE
A12984,FREEDERM LOTION 30ML (TERBINAFINE 1%),OTC
A12876,EVIN A.EMBOLISM STOCKINGS THIGH HIGH (XL),REHAB & SUPPORT
A12868,CAP KUDA MINYAK PUTIH PANAS 60ML,OTC
B10427,HOE CANDAZOLE CREAM 15G,OTC
A12783,TEBONIN FORTE 120MG 15'S,OTC
A13873,BAEBIS PEACH & BERRY RICE PUFF 5G,BABY & MOM
A13874,LUX BAR SOAP SOFT TOUCH 70G 1S,PERSONAL CARE
A13865,AP ULCEGEL HEAL ORAL ULCERS 10ML,OTC
B10607,BECLOVID-C CREAM 15G,POISON
A13832,RUBBER TIP QUADCANE NARROW BASE,REHAB & SUPPORT
A13828,PERFUME GENERICS GOATS MILK MASSAGE OIL 410ML,OTC
A13819,INFUSOL NS 0.9% 500ML (DRIP),WOUND & SURGICAL
A13811,ESENTIEL EPSOM SALT 1.2KG,OTC
A13781,AVEENO SKIN RELIEF LOTION 71ML,OTC
A13793,ACU-LIFE EAR SYRINGE 1'S,OTC
B10623,*CRESTOR 5MG STRIP 14'S,POISON
A14012,HURIX'S GAMAT PLUS SYRUP WITH IVY LEAF 60ML,OTC
A14004,TROPIKA BABY HERBA CREAM,OTC
A13966,KARIHOME GOAT MILK S1 400G,BABY & MOM
A13959,PUREEN BABY HEAD TO TOE 750ML,BABY & MOM
B10615,CORALAN 5MG 56'S,POISON
A13915,SIREH FEMININE HYGIENE 125ML,OTC
A14055,MOTION SICKNESS PATCH 12'S,OTC
A14104,NATUFOODIES YOGURT RICE CRACKER STRAWBERRY & BEETROOT 50G,FOOD & BEVERAGES
A14105,NATUFOODIES RICE STICK APPLE & BANANA 35G,FOOD & BEVERAGES
B10656,XEPA UNIVATE  0.05% CREAM 15G,POISON
A14286,COLGATE TB KIDS MINION,PERSONAL CARE
A14256,AVERGOLD AROMA TERAPI MASSAGE OIL BIDARA 65ML,OTC
B10652,MDI BIOMOL INHALER,POISON
A14191,EVIN DAY & NIGHT PILL PLANNER 2 COMPARMENTS,REHAB & SUPPORT
A14230,MINSYAM OLIVE OIL SOFTGEL 20'S,OTC
A14251,RICE PUFF ASSORTED FLAVOR 10G,BABY & MOM
A13768,BIOFLOR 250MG 6'S CAPS,OTC
A13682,LINKUS MINT LOZENGES 16'S,FOOD & BEVERAGES
A13538,SAFI MINYAK ZAITUN GAMAT (BLUE) 150ML,OTC
A13571,NIVEA DEO ROLL PEARL BEAUTY 50ML,PERSONAL CARE
A13262,YU YEE OIL 48ML,BABY & MOM
A13314,SCOTT'S VITAMIN C PASTILLES (BLACKCURRANT) 50'S,OTC
A13381,JORDAN CLASSIC MEDIUM 1'S,PERSONAL CARE
A13363,3L TINEA-KARE ANTIFUNGAL CREAM 10G,OTC
A13364,SALONPAS PATCH  2'S,OTC
A13464,NIVEA LB STRAWBERRY SHINE WITH NATURAL OILS 4.8G,OTC
A13492,NIVEA LB ORIGINAL CARE 4.8G,OTC
A14744,TIGER BALM LOTION (STRONG PAIN RELIEF)  80ML ,CONSIGNMENT
B10753,HOE ELOSONE 0.1% CREAM 15G,POISON
A14760,ADHWA BERAS BILIS SAYUR 150G,BABY & MOM
B10758,CLOXACAP 250MG 10S,POISON
A14791,FRANCH SHOWER CREME ( HYGIENE PROTECTION )800ML,PERSONAL CARE
A14794,FD FACIAL VEG. SPONGE 90*10MM SQUARE ( S002S ) 1S,PERSONAL CARE
A14709,YUKAZAN ORAL ULCER PATCH 6S,OTC
A14674,NOVA SP8 ACNE SCAR RECOVERY CREAM 50ML,SUPPLEMENT NOVA
A14564,ELLIPS VITAMIN HAIR TREATMENT (ALOE VERA OIL) 6S,PERSONAL CARE
A14562,ELLIPS VITAMIN HAIR TREATMENT (JOJOBA OIL) 6S,PERSONAL CARE
A14348,NOVA DEEBEE TAB 10S - A1,SUPPLEMENT NOVA
B10666,COVERAM 10/10MG TAB 30'S,POISON
B10681,LOCOA 40MG PATCH 10CMX14CM 7'S,POISON
A14461,AGNESIA COOLING POWDER 100G,PERSONAL CARE
A14518,BREATHECLOUD BREATH EASE VAPOUR PATCH 8S,CONSIGNMENT
B10692,HOVID DIABETMIN XR 500MG 10S,POISON
A14503,NOVA DEEBEE ACE TABLET 10'S,SUPPLEMENT NOVA
A14535,1776 ALTERNA SPIRAL SWISSROLL BP 50MM 5'S,WOUND & SURGICAL
B10788,MEGA TAMSIN FORTE 0.4MG TAB 30'S,POISON
A14936,ADHWA BERAS DAGING SAYUR 15Gx10'S,BABY & MOM
A14951,POLIDENT POWER MAX HOLD + SEAL 70G,PERSONAL CARE
A14956,D'AURA MINYAK KELAPA DARA 500MG 80S,OTC
A14971,SENSODYNE SENSITIVITY & GUM ENAMEL MINT 100G,PERSONAL CARE
A14985,BREATHE FREE VAPOUR PATCH ADULT 5S,OTC
B10770,FOBAN CREAM 5G,POISON
A14874,~PAHANG TUALANG HONEY 200ML,CONSIGNMENT DR HANISAH
A14877,CHEESE COOKIES 100G,BABY & MOM
B10776,AZITHROMYCIN SYRUP 200MG/5ML (KIDIMAC),POISON
A14809,FD SCISSOR SL SHARP  ( SS109 ) 1S,REHAB & SUPPORT
A14807,FD PIMPLE REMOVER HOOP ( K22 ) 1S,PERSONAL CARE
A14815,FD NAIL CUTICLE / TRIMMER  ( CT-118) 1S,PERSONAL CARE
A14805,FD EAR DIGGER LIGHT ( EDL ) 1S,REHAB & SUPPORT
A14832,FD SHAMPOO BRUSH ( 4338 ),PERSONAL CARE
A14833,FD SEWING NEDDLE 30S ( SN30 ),PERSONAL CARE
A14834,FD PEARL PIN 32' ( PP32 ),PERSONAL CARE
A14835,FD SAFETY PIN NEWEY BABY PIN 3S ( NNP 3 ),BABY & MOM
A14836,FD SAFETY PIN (1*2)  ( SP012 / SPB ),PERSONAL CARE
A14818,FD DENTAL FLOSSPICK 30S BOX ( DP30B ) 1S,PERSONAL CARE
A14820,FD RAZOR MINI 1S (CV-3L1),PERSONAL CARE
A14861,FD HAIR BRUSH ( WS3988 ),PERSONAL CARE
A14850,FD HAIR CLIP FORK ( HCF59 ) 1S,PERSONAL CARE
A14828,FD FOOT CALLOUS FILE STEEL ( FF59 ),PERSONAL CARE
A14829,FD PUMICE STONE WITH BRUSH ( PU-201 ),PERSONAL CARE
A14840,FD HAIR ROLLER BRUSH ( AS288 ) 1S,PERSONAL CARE
A14842,FD HAIR DYE BRUSH ( 1011 ) 1S,PERSONAL CARE
A15134,BIOSHIELD MOIST HYDRATING CLEANSING BAR 100G,PERSONAL CARE
A15128,RWC PAPAYA SOAP 100G,PERSONAL CARE
A15094,~ O'CARE LOVE MORE HAIR SHAMPOO 500ML,PERSONAL CARE
A15054,REDOXON KIDS VITC 200MG CHEWABLE 60S,SUPPLEMENT
B10824,COOLORA BENZYDAMINE MOUTHWASH BP 0.15% 100ML,POISON
A15053,YUWELL BLOOD GLUCOSE METER 582,MEDICAL DEVICE & SUPPLY
A15064,ACTIV-RUB LINIMENT 30ML,OTC
B10832,AVOBIC CREAM 15G,POISON
A15082,HS PETROLEUM JELLY WITH VIT E 45G,OTC
A15124,PLUSTRAX EFFERVESCENT TABLET (ORANGE) 4G 10S,OTC
B10764,HERPESAN GEL 5G,POISON
A14837,FD FOOTCOVER 30D THICK ( F115 ) 1S,REHAB & SUPPORT
A14909,FAR INFRARED EYE PATCH (KIDS) 1S,OTC
A14910,FAR INFRARED EYE PATCH (ADULT) 1S,OTC
A14978,ELEFBEBE MILK STORAGE BAG 3.50Z/100ML 30S BF-B04,BABY & MOM
A14949,DR WOUND BIOHEAL GEL 7ML,WOUND & SURGICAL
A14942,QMOIST EYE DROPS 15ML,OTC
A14519,LITTLE NUUR IKAN SINGGANG WITH RICE 100G,BABY & MOM
B10671,SANDOZ AMLIBON 5MG 10S,POISON
A14389,21ST CEN L-LYSINE 600MCG 50S,CONSIGNMENT
A14570,HANSAPLAST AQUA PROTECT 20S,CONSIGNMENT
B10715,HOE DECOZOL CREAM 15G,POISON
A14655,KFT-03 EVIN DIGITAL THERMOMETER,MEDICAL DEVICE & SUPPLY
A14646,HURIX GAMAT & MADU PLUS DROPS 2.5G (ORIGINAL),FOOD & BEVERAGES
A14643,HURIX CONSTIPATION TABLET 12S,OTC
A14644,HURIX GASTRO AID SYRUP 100ML ,OTC
B10747,WETTRUST VAGINAL MOISTURIZER 3S ,POISON
A14788,FRANCH HERBAL MOISTURE  BAR SOAP 100G 1S,PERSONAL CARE
A14786,FRANCH TUMERIC BAR SOAP 100G 1S,PERSONAL CARE
B10530,COMBINEB NEBULISER SOLUTION 2.5ML 6'S,POISON
A13424,AGNESIA ROSE 100G,PERSONAL CARE
A13389,EYE MO MOIST 15ML,OTC
A13589,AQUACEL FOAM NON-ADHESIVE 10CM*10CM,WOUND & SURGICAL
A13662,LIBRESSE ULTRA THIN WINGS 24CM 18'S,PERSONAL CARE
A13770,PURAGE MOISTURIZING LOTION 50ML,OTC
A13773,HURIX'S OLIGO HONEY 10G,OTC
B10573,OMIFLU 75MG CAPSULE 10'S,POISON
A13730,VETUS TWEEZERS HRC30,OTC
A13749,0421 BRAVA BELT 1'S,WOUND & SURGICAL
A14204,FREEDERM GEL 10G (TERBINAFINE),OTC
A14260,SAWANAH COCOA 900GM,BABY & MOM
A14046,SIANGPURE MEDICATED OIL (25ML) FOC 3ML,OTC
B10624,AXCEL UREA CREAM 20G,OTC
A13906,ORADEX ANTIBACTERIAL 90ML,OTC
A13920,AJMAL NATURAL STEVIA SWEETENER 10ML,OTC
A13955,PUREEN KIDS HEAD TO TOE WASH (APPLE) 750ML,BABY & MOM
A13956,PUREEN KIDS HEAD TO TOE WASH (NATURAL) 750ML,BABY & MOM
A13957,PUREEN BABY SHAMPOO 750ML,BABY & MOM
A13996,RAED CENGKIH AROMATHERAPY OIL 10ML,BABY & MOM
A14014,MINYAK HERBA ASMAK 30ML,OTC
B10605,CANESTEN CLOTRIMAZOLE CREAM 1% 10G,POISON
A13888,HURIX'S PHLEGM & COUGH HERBS CAPSULE 6'S,OTC
A12891,EVIN L-SHAPED INTERDENTAL BRUSH 5'S,PERSONAL CARE
A12988,UBAT BATUK CAP IBU & ANAK 300ML,OTC
A13173,KOTEX OVERNIGHT PANTIES L-XL SIZE HIP 41 2PCS,PERSONAL CARE
A13154,KOTEX OVERNIGHT PANTIES M-L SIZE HIP 34 2PCS,PERSONAL CARE
A13155,DERMAL THERAPY LIP BALM ORIGINAL ULTRA MOISTURISING 10G,OTC
A13146,MY ROHANI MINYAK URUT BIDARA 30ML,OTC
A13125,HANSAPLAST SENSITIVE KIDS 20'S,OTC
A13057,FRESHCARE MEDICATED OIL STRONG 10ML,OTC
A13071,MANICURE SET LOOSE (NAIL CLIPPER),OTC
B10370,*PHARMANIAGA SIMVASTATIN 20MG STRIP 10'S,POISON
A12439,*NEUTROVIS EXTRA 4PLY SAGE GREEN 10'S,MEDICAL DEVICE & SUPPLY
B10362,*ORALCON BOX 21'S,POISON
A12247,VICKS VAPODROP LOZENGES ORANGE MENTHOL 12S,FOOD & BEVERAGES
A12282,CERAVIS M+ CREAM 25G,OTC
A12216,PERSKINDOL COOL SPRAY (BLUE) 250ML,OTC
A12584,"DR PAIN ICE WARM BAG 11""",REHAB & SUPPORT
A12766,HERBION COUGH RELIEF SYRUP,OTC
A12657,FIRST AID TRAVEL BAG,REHAB & SUPPORT
A10852,PARACAP SUSPENSION 250MG / 5ML (ORANGE) 100ML,OTC
A10808,*SMITH&NEPHEW JELONET 5CM*5CM 5'S,WOUND & SURGICAL
A10650,PERFUME GENERICS GINGER MASSAGE OIL 410ML,OTC
A10651,PERFUME GENERICS LAVENDER MASSAGE OIL 410ML,OTC
A10637,PAN MATE BRIEFS (XL) 6'S,PERSONAL CARE
A10602,ORADEX EVERYDAY 90ML,OTC
A10713,RINSCAP STERILE WATER FOR IRRIGATION 500ML,WOUND & SURGICAL
A11171,*DRAPOLENE CREAM 55G,BABY & MOM
A10393,PEDIASURE PEPTIGRO VANILLA 1.65KG,OTC
A10416,HURIX'S UBAT BATUK GAMAT & MADU PLUS 60ML,OTC
A10452,KANGAROO EUCALYPTUS OIL 8.5ML,OTC
A10305,DUREX COMFORT XL 3'S,OTC
A10354,FISHERMAN SF LEMON 21'S ( YELLOW ),OTC
A10536,NEUTROVIS KN95 MASK CLASSIC (WHITE) 20'S,MEDICAL DEVICE & SUPPLY
A10537,NEUTROVIS KN95 MASK BUTTERMILK 20'S,MEDICAL DEVICE & SUPPLY
A10522,*MAALOX PLUS 25MG STRIP 10'S,OTC
A10291,DR PAIN HOT COLD PACK 28CM*13.5CM,REHAB & SUPPORT
A10293,"DR PAIN ICE WARM BAG 9""",REHAB & SUPPORT
A10258,CUTICURA TALC POWDER 100G,PERSONAL CARE
A10267,DERMOPLEX CALAMINE CREAM 25G,BABY & MOM
A10250,COUNTERPAIN 30G,OTC
A10184,CAP LANG MINYAK TELON 30ML,BABY & MOM
A10125,BEBIKU TELON 30ML,OTC
A10180,CAP KAPAK MINYAK ANGIN 5ML,OTC
A10008,21ST CEN PROBIOTICS 30'S,OTC
A10050,ALCON TEARS NATURALE II 15ML,OTC
A10068,AMMELTZ YOKO YOKO GOLD 80ML,OTC
A10065,AMMELTZ HEAT PATCH NECK & SHOULDER 2'S,OTC
A10085,APPETON ESSENTIAL FOLIC ACID 90'S,OTC
A10101,A-SCABS LOTION 30ML,OTC
A10095,APPETON OPTIGROW PLUS 60'S,OTC
A11492,TYT HERBAL MEDICATED OIL 42ML,OTC
B10125,PRISTINEX CREAM 15G,POISON
B10160,XEPA ZARIN CREAM 15G,POISON
B10154,XEPA MUCOLIX ELIXIR 90ML,POISON
B10148,UNIFLEX-N CREAM 15G,POISON
B10057,EZEDE 10MG BOX 10'S,POISON
B10078,HOE FOBANCORT CREAM 15G,POISON
B10074,HOE ECOCORT CREAM 15G,POISON
B10039,CLODERM 0.05% OINTMENT 15G,POISON
B10050,DIFFLAM FORTE THROAT SPRAY 15ML,POISON
B10045,DHA FEDAC STRIP 10'S,POISON
B10028,CANDACORT CREAM 15G,POISON
B10175,*ZYNOR 10MG STRIP 10'S,POISON
S00001,GRAB EXPRESS,CONSIGNMENT
B10210,YSP RASITOL 40MG STRIP 10'S,POISON
B10211,*COVASC 5MG STRIP 10'S,POISON
A11771,RYLES TUBE SIZE 18 FG,WOUND & SURGICAL
B10182,UNIFLEX CREAM 0.1% 15G,POISON
A11872,GRACE CARE WRIST SUPPORT GC-WB222 FREE SIZE,REHAB & SUPPORT
A11879,*YAKULT ACE / ACE LIGHT LESS SUGAR 80ML,FOOD & BEVERAGES
A11847,REMDII CALMING BODY WASH 250ML,PERSONAL CARE
B10235,XEPA NOVOMIN SYRUP 60ML,POISON
B10285,DYNAPHARM CEPHALEXIN STRIP 500MG 10'S,POISON
A11923,HURIXS FEVER & COLD SYRUP FOR CHILDREN 60ML,OTC
A11727,SENSODYNE GENTLE WHITENING 100G,PERSONAL CARE
A11790,XYLITOL 300GM,OTC
A11783,FOLEY CATHETER SIZE 10FR,WOUND & SURGICAL
A11831,BRAGG ORG APPLE CIDER VINEGAR 946ML,FOOD & BEVERAGES
B10288,*TRAJENTA 5MG STRIP 10'S,POISON
A11963,ALL TEST COVID-19 ANTIGEN RAPID TEST 1'S (NEW),CONSIGNMENT
A11979,999 CHLOROPHYLL SOAP 90G,PERSONAL CARE
A11994,PUREEN TRAVO LADIES (FREE SIZE),PERSONAL CARE
B10301,*GALVUSMET 50MG/850MG STRIP 10'S,POISON
A12106,POLIDENT 3 MINUTE DAILY CLEANSER 36'S,OTC
A11572,PUREEN MADAME MATERNITY PADS 32CM 30'S,BABY & MOM
A11603,EXCELL AAA ALKALINE BATTERY 4S,OTC
A11703,*AP RETANE STERILE EYE DROPS 5'S,OTC
B10038,CLODERM 0.05% CREAM 15G,POISON
B10147,TRAVOCORT CREAM 10G,POISON
B10117,OXY-NASE 0.05% NASAL SPRAY 15ML,POISON
A11502,WOODS PEPPERMINT COUGH SYRUP ADULT 50ML,OTC
A11421,TISSUE SOFT PACK 4PLY 40'S,OTC
B10008,ALLERSINE EYE DROPS 5ML,POISON
A10070,AMMELTZ YOKO YOKO LESS SMELL 80ML,OTC
A10054,ALOCLAIR PLUS SPRAY 15ML,OTC
A10039,FOLEY CATHETER SIZE 12FR,WOUND & SURGICAL
A10191,CARNATION CORN CAP 5'S,OTC
A10292,"DR PAIN ICE WARM BAG 6""",REHAB & SUPPORT
A10529,MESTIKA MASSAGE OIL 30ML,OTC
A10489,SILICONE FOLEY CATHETER 2 WAY SIZE 14FR,WOUND & SURGICAL
A10500,GARNIER DRY TOUCH MOCHI PLUMP 30ML,OTC
A10568,NIXODERM SOAP OLIVE 100G,PERSONAL CARE
A10601,ORADEX DUAL ACTION 90ML  (RED),OTC
A10365,*TLS FRUSINEA 6.0 1'S,OTC
A10366,GASCOAL 50MG 10'S,OTC
A10380,HANSAPLAST ELASTIC 20'S,OTC
A10329,ENO LEMON 4.3G PACK 2'S,OTC
A10907,VICKS INHALER 0.5ML 1'S,OTC
A10908,VICKS VAPORUB 10G,OTC
A10944,YU YEE OIL 10ML,BABY & MOM
A11006,AXCEL EVILINE FORTE 100ML,OTC
A11064,CAP KUDA MINYAK SERAI 60ML,OTC
A10714,RINZ NORMAL SALINE 5ML,OTC
A10749,*SCOTT'S EMULSION ORIGINAL 400ML,OTC
A10754,SENSODYNE GUMCARE 100G,OTC
A10608,LIBRESSE DAILY SENSITIV FEMININE INTIMATE WASH GEL 200ML,PERSONAL CARE
A10652,PERFUME GENERICS LEMONGRASS MASSAGE OIL 410ML,OTC
A10658,PETANI MINYAK GAMAT ASLI LANGKAWI PLUS (YELLOW) 60ML,OTC
A10665,POLIDENT ADHESIVE CREAM FRESH MINT 20G,OTC
A10669,POLIDENT WHITENING TAB 36'S,OTC
A10794,SIMPLE GENTLE SHAMPOO 200ML,PERSONAL CARE
A10836,SUDOCREM 60G,OTC
A10782,SENSODYNE MULTICARE 100G,PERSONAL CARE
A10859,DR. P PREMIUM PANTS L 8'S,REHAB & SUPPORT
A10878,UBAT BATUK CAP IBU & ANAK 75ML,OTC
A12541,LION BALL CORNCAP PLASTER 6'S,OTC
A12243,COTTON BUD ADULT 80S,CONSIGNMENT
A12324,MH EPSOM SALT 50GM,OTC
A12464,*GLYPRIN 100MG 10'S (ASPIRIN+GLYCINE),OTC
A13049,*TLS OXXY KIDS 5GM SACHET 1'S,SUPPLEMENT TLS
A13134,APPETON ESSENTIALS MSTEEN 30'S,OTC
A12980,HIMALAYA VAJOMBA ACTIWHOOSH 15G,FOOD & BEVERAGES
A13037,BELCID SUSPENSION 120ML,OTC
A12897,EVIN BRUSH PICKS 300'S,PERSONAL CARE
A12890,EVIN I-SHAPED INTERDENTAL BRUSH 1.0MM 8'S,PERSONAL CARE
A13821,GKB EURYCOZIN 60'S,OTC
A14024,PANAFLEX HOT PATCH 5S,OTC
A14021,HERBION LINKUS NOVA ORANGE 9'S,FOOD & BEVERAGES
A14054,LAC VITAMIN D3 1000IU 180'S SOFTGEL,OTC
B10634,TWYNSTA 40/5MG 10'S,POISON
A14209,CONNECX NASAL CANNULA (ADULT),REHAB & SUPPORT
B10645,TWYNSTA 40MG/10MG 10'S,POISON
A13740,PALMOLIVE SHOWER GEL ( ABSOLUTE RELAX ) 750ML,WOUND & SURGICAL
A13752,12020 BRAVA SKIN BARRIER SPRAY 1'S,WOUND & SURGICAL
A13757,13976 ALTERNA FREE TRANS 60MM 2PC 15'S,REHAB & SUPPORT
A13689,INFUSOL HM HARTMANN SODIUM LACTATE 500ML (DRIP),WOUND & SURGICAL
A13632,DIFFLAM AB LEMON 6'S,FOOD & BEVERAGES
A13361,GK ENZYME SYP ORG MINTY BASIL 300ML,OTC
A13356,NL STORE STEVIA DROP SWEETENER,OTC
A13316,APIPRO ORAL PLUS SPRAY 20ML,OTC
B10517,DUSPATALIN 135MG 10'S,POISON
A14785,FRANCH POMEGRANATE BAR SOAP 100G 1S,PERSONAL CARE
A14676,NOVA CHILDREN FISH OIL 10S,SUPPLEMENT NOVA
A14677,NOVA NEUROTEC TABLET 10S,SUPPLEMENT NOVA
A14575,NOVA SP8 EXTRA GENTLE CREAM CLEANSER 100ML,SUPPLEMENT NOVA
B10675,HOE BENOSONE OINTMENT 15GM,POISON
A14337,HURIX'S GAMAT PLUS SYRUP 100ML,OTC
A14331,STREPSILS CHESTY COUGH LOZENGE 12S,FOOD & BEVERAGES
A14526,ABSORBA NATEEN SOFT DIAPER (L),OTC
A14460,NOVA MULBERRY PLUS TABLET 10S,SUPPLEMENT NOVA
B10687,H-CORT OINTMENT 15G,CONSIGNMENT
B10803,DAPZIN 10MG 10S,POISON
000025,DISCOUNTINUE,OTC
B10771,HOE FOBANCORT OINTMENT 15G,POISON
A14851,FD SHARK HAIR CLIP ( TH) SC-19 1S,PERSONAL CARE
A14844,FD WOODEN GRAIN COMB ( W7411 ) 1S,PERSONAL CARE
A14849,FD HAIR RUBBER BAND ( HRB ) 1S,PERSONAL CARE
A15116,M-SHIELD ANTIBACTERIAL DISINFECTANT 100ML,WOUND & SURGICAL
B10837,CROTOCORT CREAM 15G,POISON
A15115,SENSODYNE SENSITIVITY & GUM EXTRA FRESH 100G,PERSONAL CARE
A15096,~ O'CARE RELAXATION BODY SHAMPOO 500ML,PERSONAL CARE
A15097,~ O'CARE SILKY MOIST BODY SHAMPOO 500ML,PERSONAL CARE
A15098,~ O'CARE PASSIONATE ROSE BODY SHAMPOO 500ML,PERSONAL CARE
A15107,RENERVE 10S,SUPPLEMENT
A15045,PIC VEDO CLEAR FLEXI TIP DIGITAL THERMOMETER,MEDICAL DEVICE & SUPPLY
B10831,CLOXACAP 500MG 10S,POISON
A15146,COUNTERPAIN ROLL ON COOL (BLUE) 100ML ,OTC
A15147,COUNTERPAIN ROLL ON HOT (RED) 100ML,OTC
A14838,FD TRENDY SOCKS 70D THICK ( TD-701 ) 1S,PERSONAL CARE
A15018,FD BOTTLE SPRAY MIST 50ML ( SM50J ),PERSONAL CARE
A14464,PLANET BARLEY TABLETS 70S,CONSIGNMENT
A14558,NOVA AQUA Q10 50MG + E 100IU (3IN1) 10S,SUPPLEMENT NOVA
A14765,ENTOCID SYRUP SUGAR FREE 120ML,OTC
B10515,PREGEB PREGABALIN 75MG 10'S,POISON
A13399,HIMALAYA TENTEX ROYAL 10'S,OTC
A13615,EVIN NASAL ASPIRATOR,OTC
A13569,SILICONE RYLE'S STOMACH TUBE 12FR/14FR/16FR/18FR,WOUND & SURGICAL
A13579,REDOXON TRIPLE ACTION 10'S ORANGE,OTC
B10560,TERNOLOL 100MG 10S,POISON
A13755,1779 ALTERNA SWISSROLL BP 60MM 5'S,REHAB & SUPPORT
A14020,HERBION LINKUS NOVA HONEY LEMON 9'S,FOOD & BEVERAGES
A14013,MINYAK HERBA ASMAK 10ML,OTC
A14011,WAGAS OIL MINYAK AROMATERAPI CENGKIH 7ML,OTC
A13875,NUR CARE FREEZEMAX SPRAY 100ML,OTC
A13863,LP ANKLE SUPPORT 704 S/M/L/XL,OTC
A12993,PRIMEAGE PROGIGUARD VEGI CAPS 30'S,OTC
B10464,PHARMANIAGA GLICLAZIDE 80MG 10'S,POISON
A13133,APPETON ESSENTIALS TEENGROW 30'S,OTC
A13250,KOKOLA BUTTER COOKIES BAR ( MILK VANILLA ) 60G,FOOD & BEVERAGES
V10010,PRIME GI GUARD,OTC
B10354,*MILOSEC 20MG STRIP 7'S,POISON
A12330,BETADINE SORE THROAT SPRAY 50ML,OTC
A12534,HOVID GINKGO 40MG STRIP 10'S,OTC
B10378,KETAZON 2% SHAMPOO 100ML,POISON
A10872,TIGER PLASTER WARM 10CM*7CM 2'S,OTC
A10921,WINWA YELLOW LOTION 0.4% 30ML,WOUND & SURGICAL
A10809,SMITH&NEPHEW MELOLIN 5CM*5CM 5'S,WOUND & SURGICAL
A10666,POLIDENT ADHESIVE CREAM FRESH MINT 60G,OTC
A10667,POLIDENT DENTURE CREAM FLAVOUR FREE 20G,OTC
A10657,PETANI MINYAK GAMAT PANAS PLUS (RED) 60ML,OTC
A10649,PANADOL SUSPENSION 250MG/5ML 60ML,OTC
A10948,ZENTEL 200MG TWIN PACK 4'S,OTC
A10339,EYE MO MOIST 7.5ML,OTC
A10384,HANSAPLAST TRANSPARENT 20'S,OTC
A10409,HURIX'S HONEY LEMON DROPS 6'S,FOOD & BEVERAGES
A10574,NON-WOVEN GAUZE SWAB 7.5CM*7.5CM 100'S,WOUND & SURGICAL
A10492,WINWA KIDZ PCM 250MG/5ML STRAWBERRY 100ML,OTC
A10174,CAP KAKI TIGA LOSYEN KUNING 60ML,WOUND & SURGICAL
A10066,AMMELTZ YOKO YOKO 82ML,OTC
A10063,AMMELTZ HEAT PATCH BACK PAIN 2'S,OTC
A11443,RHINATHIOL 5% ADULT EXPECTORANT SYRUP 125ML,OTC
A11349,MESTIKA MASSAGE OIL 60ML,OTC
B10075,HOE ELOSONE 0.1% OINTMENT 15G,POISON
B10090,*MARVELON STRIP 21'S,POISON
B10056,ESCAPELLE 1.5MG BOX 1'S,POISON
A11575,PUREEN LIQ CLEANSER REFILL ORANGE 600ML,BABY & MOM
B10176,*ZYNOR 5MG STRIP 10'S,POISON
B10299,STADA ACYCLOVIR 800MG 5'S,POISON
A12109,3L BADAK COOLING WATER 200ML,FOOD & BEVERAGES
B10295,*ZYLOVAA 50MG STRIP 10'S,POISON
B10213,!*ABBOTT BETASERC 24MG 10'S,POISON
B10191,TUSSIDEX FORTE LINCTUS 120ML,POISON
A11930,~CUION MASK KIDS 1'S,MEDICAL DEVICE & SUPPLY
A11903,HOE CANDAZOLE LOTION 10ML,OTC
B10258,MUROZIN 2% OINTMENT 5G,POISON
A11909,*MAC DUAL ACTION STRIP 6'S (HEXYLRESORCINOL),FOOD & BEVERAGES
B10234,*JANUMET 50/1000MG STRIP 7'S,POISON
A11863,NC SILVERGUARD NANO SILVER 60ML,OTC
A12017,HURIX'S MENSTRUAL PAIN 9'S,OTC
A11995,PUREEN TRAVO MATERNITY (L),PERSONAL CARE
A11966,PANADOL FOR CHILDREN TABLET 120MG 12'S,OTC
A11946,*KINOHIMITSU FOOT PACK,OTC
B10181,*DIFFLAM RASPBERRY STRIP 8'S,POISON
B10064,FUCIDIN 2% CREAM 5G,POISON
B10040,COUGH-EN LINCTUS SYRUP 120ML,POISON
B10158,XEPA SEDILIX-DM LINCTUS 120ML,POISON
A11376,PROTEX BAR SOAP FRESH 70G 1S,PERSONAL CARE
A11433,YOKNESS QU HUANG HERBAL BATH,BABY & MOM
